,Province_State,FIPS,Combined_Key,Date,Confirmed_Cases,County_Name,order_code,Face_Masks_Required_in_Public
197,Arizona,4019,"Pima, Arizona, US",2020-08-06,17293,Pima County,2.0,
198,Arizona,4019,"Pima, Arizona, US",2020-08-07,17497,Pima County,2.0,
199,Arizona,4019,"Pima, Arizona, US",2020-08-08,17728,Pima County,2.0,
200,Arizona,4019,"Pima, Arizona, US",2020-08-09,17880,Pima County,2.0,
201,Arizona,4019,"Pima, Arizona, US",2020-08-10,17996,Pima County,2.0,
202,Arizona,4019,"Pima, Arizona, US",2020-08-11,18381,Pima County,2.0,
203,Arizona,4019,"Pima, Arizona, US",2020-08-12,18508,Pima County,2.0,
204,Arizona,4019,"Pima, Arizona, US",2020-08-13,19001,Pima County,2.0,
205,Arizona,4019,"Pima, Arizona, US",2020-08-14,19164,Pima County,2.0,
206,Arizona,4019,"Pima, Arizona, US",2020-08-15,19313,Pima County,2.0,
207,Arizona,4019,"Pima, Arizona, US",2020-08-16,19581,Pima County,2.0,
208,Arizona,4019,"Pima, Arizona, US",2020-08-17,19743,Pima County,2.0,
209,Arizona,4019,"Pima, Arizona, US",2020-08-18,19976,Pima County,2.0,
210,Arizona,4019,"Pima, Arizona, US",2020-08-19,20047,Pima County,2.0,
211,Arizona,4019,"Pima, Arizona, US",2020-08-20,20139,Pima County,2.0,
212,Arizona,4019,"Pima, Arizona, US",2020-08-21,20173,Pima County,2.0,
213,Arizona,4019,"Pima, Arizona, US",2020-08-22,20446,Pima County,2.0,
214,Arizona,4019,"Pima, Arizona, US",2020-08-23,20475,Pima County,2.0,
215,Arizona,4019,"Pima, Arizona, US",2020-08-24,20535,Pima County,2.0,
216,Arizona,4019,"Pima, Arizona, US",2020-08-25,20919,Pima County,2.0,
217,Arizona,4019,"Pima, Arizona, US",2020-08-26,20911,Pima County,2.0,
218,Arizona,4019,"Pima, Arizona, US",2020-08-27,21001,Pima County,2.0,
219,Arizona,4019,"Pima, Arizona, US",2020-08-28,21072,Pima County,2.0,
220,Arizona,4019,"Pima, Arizona, US",2020-08-29,21133,Pima County,2.0,
221,Arizona,4019,"Pima, Arizona, US",2020-08-30,21189,Pima County,2.0,
222,Arizona,4019,"Pima, Arizona, US",2020-08-31,21221,Pima County,2.0,
223,Arizona,4019,"Pima, Arizona, US",2020-09-01,21286,Pima County,2.0,
224,Arizona,4019,"Pima, Arizona, US",2020-09-02,21294,Pima County,2.0,
225,Arizona,4019,"Pima, Arizona, US",2020-09-03,21443,Pima County,2.0,
226,Arizona,4019,"Pima, Arizona, US",2020-09-04,21574,Pima County,2.0,
227,Arizona,4019,"Pima, Arizona, US",2020-09-05,21834,Pima County,2.0,
228,Arizona,4019,"Pima, Arizona, US",2020-09-06,21888,Pima County,2.0,
229,Arizona,4019,"Pima, Arizona, US",2020-09-07,22000,Pima County,2.0,
230,Arizona,4019,"Pima, Arizona, US",2020-09-08,22035,Pima County,2.0,
231,Arizona,4019,"Pima, Arizona, US",2020-09-09,22071,Pima County,2.0,
232,Arizona,4019,"Pima, Arizona, US",2020-09-10,22140,Pima County,2.0,
233,Arizona,4019,"Pima, Arizona, US",2020-09-11,22247,Pima County,2.0,
234,Arizona,4019,"Pima, Arizona, US",2020-09-12,22357,Pima County,2.0,
235,Arizona,4019,"Pima, Arizona, US",2020-09-13,22418,Pima County,2.0,
236,Arizona,4019,"Pima, Arizona, US",2020-09-14,22511,Pima County,2.0,
237,Arizona,4019,"Pima, Arizona, US",2020-09-15,22643,Pima County,2.0,
238,Arizona,4019,"Pima, Arizona, US",2020-09-16,22887,Pima County,2.0,
239,Arizona,4019,"Pima, Arizona, US",2020-09-17,23563,Pima County,2.0,
240,Arizona,4019,"Pima, Arizona, US",2020-09-18,24313,Pima County,2.0,
241,Arizona,4019,"Pima, Arizona, US",2020-09-19,24511,Pima County,2.0,
242,Arizona,4019,"Pima, Arizona, US",2020-09-20,24610,Pima County,2.0,
243,Arizona,4019,"Pima, Arizona, US",2020-09-21,24647,Pima County,2.0,
244,Arizona,4019,"Pima, Arizona, US",2020-09-22,24798,Pima County,2.0,
245,Arizona,4019,"Pima, Arizona, US",2020-09-23,25004,Pima County,2.0,
246,Arizona,4019,"Pima, Arizona, US",2020-09-24,25140,Pima County,2.0,
247,Arizona,4019,"Pima, Arizona, US",2020-09-25,25265,Pima County,2.0,
248,Arizona,4019,"Pima, Arizona, US",2020-09-26,25329,Pima County,2.0,
249,Arizona,4019,"Pima, Arizona, US",2020-09-27,25412,Pima County,2.0,
250,Arizona,4019,"Pima, Arizona, US",2020-09-28,25445,Pima County,2.0,
251,Arizona,4019,"Pima, Arizona, US",2020-09-29,25569,Pima County,2.0,
252,Arizona,4019,"Pima, Arizona, US",2020-09-30,25628,Pima County,2.0,
253,Arizona,4019,"Pima, Arizona, US",2020-10-01,25706,Pima County,2.0,
254,Arizona,4019,"Pima, Arizona, US",2020-10-02,25784,Pima County,2.0,
255,Arizona,4019,"Pima, Arizona, US",2020-10-03,25855,Pima County,2.0,
256,Arizona,4019,"Pima, Arizona, US",2020-10-04,25925,Pima County,2.0,
